pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile
Manhattan,East Chelsea,Manhattan,East Chelsea,3569,53039.19,14.861078733538807,0.8044858503782573,5.327977024376576,86.19139305888953
Manhattan,Lenox Hill East,Manhattan,Midtown East,3566,72051.72,20.20519349411105,1.6587408861469433,12.216886333894186,12.74867794318818
Manhattan,Sutton Place/Turtle Bay North,Manhattan,Lenox Hill West,3549,53122.86,14.968402366863906,0.9506086221470837,6.768131868131868,17.497817426397308
Manhattan,Lenox Hill West,Manhattan,Lenox Hill East,3536,48866.52,13.819717194570135,0.7092024886877828,6.17737556561086,24.57773815417593
Manhattan,Yorkville East,Manhattan,Upper East Side South,3535,64646.17,18.287459688826026,1.4374625176803395,10.712239509665253,13.22034687356198
Manhattan,Midtown East,Manhattan,Penn Station/Madison Sq West,3520,71101.57,20.19930965909091,1.3970142045454546,13.091207386363637,15.001290056502976
Manhattan,Clinton East,Manhattan,West Chelsea/Hudson Yards,3518,55875.09,15.882629334849344,1.1421318931210915,7.348460299412546,15.567744111991873
Manhattan,Times Sq/Theatre District,Manhattan,Upper West Side South,3501,75344.69,21.52090545558412,1.9701599542987718,12.47003713224793,11.100376608019115
Manhattan,Lenox Hill East,Manhattan,Lenox Hill West,3494,48740.54,13.94978248425873,0.6952003434459073,6.069433314253005,24.60693300279232
Manhattan,Sutton Place/Turtle Bay North,Manhattan,Lenox Hill East,3493,54085.83,15.484062410535357,0.9908216432865732,7.726534020421796,17.614842701310565
Manhattan,Clinton East,Manhattan,Midtown Center,3478,56163.59,16.148243243243243,0.9772311673375503,9.106905309564883,17.453796884657905
Manhattan,Midtown Center,Manhattan,Clinton East,3465,62525.47,18.044868686868686,1.0663318903318904,10.946911976911977,17.91617561784667
Manhattan,East Chelsea,Manhattan,West Chelsea/Hudson Yards,3430,49183.11,14.33909912536443,0.8352332361516035,5.914990281827017,25.8708991788215
Manhattan,Penn Station/Madison Sq West,Manhattan,Midtown East,3396,73088.55,21.521952296819787,1.5721024734982332,14.859947978013349,14.116618232695373
Manhattan,Penn Station/Madison Sq West,Manhattan,Clinton East,3390,61593.01,18.169029498525074,1.1135840707964602,11.241784660766962,18.561193888042926
Manhattan,Murray Hill,Manhattan,Gramercy,3373,52163.02,15.464873999407056,1.0403290839015713,6.629830022729519,18.981188598951636
Manhattan,Union Sq,Manhattan,Midtown Center,3359,64955.05,19.337615361714796,1.4661565942244714,11.881844795077901,13.878739637712961
Manhattan,Midtown North,Manhattan,Upper West Side South,3358,66208.89,19.71676295413937,1.6827427039904703,10.90023327377407,12.510316980816334
Manhattan,Yorkville West,Manhattan,Lenox Hill East,3353,52248.97,15.582752758723531,1.1050999105278856,7.551640322099613,15.167698941951533
Manhattan,Murray Hill,Manhattan,Upper East Side South,3351,68077.5,20.315577439570276,1.5978543718293046,12.692211280214861,13.178224688392593
Manhattan,Central Park,Manhattan,Upper East Side South,3331,54838.93,16.46320324226959,1.107676373461423,8.304803362353647,19.161430402236448
Manhattan,Midtown East,Manhattan,Times Sq/Theatre District,3330,59525.58,17.87554954954955,0.9372192192192192,11.137347347347347,20.46908892265377
Manhattan,Lenox Hill West,Manhattan,Midtown East,3323,58107.36,17.486415889256698,19.062690340054168,9.825313471762463,14.755817632881893
Manhattan,Penn Station/Madison Sq West,Manhattan,Midtown North,3318,71344.05,21.50212477396022,1.5264526823387585,14.882293550331525,14.455021865517201
Manhattan,Lenox Hill East,Manhattan,Sutton Place/Turtle Bay North,3309,53300.43,16.1077153218495,1.1367815049864007,7.697486652563716,15.8480381886424
